YearsExperience,EducationLevel,Age,JobRole,Location,Certifications,PreviousCompanies,PerformanceRating,TechStack,Department,WorkingHours,LeavesTaken,Gender,EmploymentType,RemoteWork,Salary
23,3,49,Intern,Delhi,4,0,4,C++,IT,44,16,Other,PartTime,0,73300.0
25,4,39,Engineer,Pune,2,1,1,SQL,Finance,38,7,Male,PartTime,0,84100.0
24,2,46,Director,Hyderabad,5,0,5,SQL,Finance,36,11,Male,Contract,0,69500.0
27,5,60,Lead,Delhi,3,4,4,Java,HR,53,11,Other,PartTime,1,99800.0
27,3,29,Intern,Bangalore,4,4,4,Python,IT,43,13,Male,Contract,1,71200.0
27,2,64,Consultant,Hyderabad,0,1,1,SQL,HR,51,26,Female,FullTime,1,73500.0
12,4,33,Director,Mumbai,2,5,2,SQL,Admin,36,20,Male,FullTime,0,57400.0
8,5,58,Analyst,Hyderabad,3,1,4,Java,Finance,50,15,Male,PartTime,0,62100.0
28,2,51,Manager,Mumbai,0,0,1,SQL,HR,43,20,Other,PartTime,1,75900.0
14,4,34,Consultant,Chennai,1,1,5,JavaScript,Operations,41,28,Male,PartTime,0,42600.0
12,4,51,Engineer,Mumbai,0,2,2,Python,IT,42,27,Other,Contract,0,67100.0
0,3,35,Manager,Hyderabad,3,3,2,Java,Admin,58,16,Male,FullTime,0,18700.0
24,4,54,Analyst,Bangalore,3,4,1,SQL,Admin,35,1,Other,PartTime,1,88400.0
6,4,30,Engineer,Mumbai,0,3,1,JavaScript,IT,43,3,Male,Contract,1,30500.0
8,1,41,Director,Delhi,3,5,2,Java,Finance,42,20,Male,PartTime,0,31100.0
23,4,59,Engineer,Chennai,5,0,4,Python,Admin,53,20,Female,PartTime,1,72900.0
0,5,45,Lead,Pune,0,5,2,JavaScript,IT,57,15,Female,FullTime,0,17100.0
11,2,57,Consultant,Chennai,2,4,5,C++,IT,41,29,Male,FullTime,1,36800.0
7,5,60,Analyst,Mumbai,3,1,2,Java,Admin,58,4,Male,Contract,1,50000.0
23,5,40,Intern,Delhi,3,3,4,Python,Operations,51,11,Male,PartTime,1,81200.0
30,3,27,Lead,Delhi,2,3,5,SQL,Finance,37,12,Other,PartTime,0,77000.0
10,1,38,Consultant,Hyderabad,5,2,4,JavaScript,IT,36,10,Other,Contract,0,28500.0
18,1,61,Analyst,Pune,2,3,3,Python,IT,48,21,Male,Contract,1,34300.0
16,5,64,Director,Chennai,4,0,2,JavaScript,HR,53,3,Other,Contract,0,73200.0
7,2,46,Consultant,Mumbai,1,4,5,Java,Admin,35,21,Other,PartTime,0,20400.0
2,1,37,Director,Delhi,0,2,2,Java,Finance,45,2,Female,FullTime,0,12200.0
2,1,62,Lead,Mumbai,3,1,5,Python,Admin,43,7,Male,FullTime,0,6900.0
0,5,27,Analyst,Hyderabad,3,2,5,Java,Operations,59,30,Female,FullTime,0,17600.0
26,1,48,Analyst,Mumbai,5,4,3,SQL,Admin,46,4,Other,PartTime,0,58800.0
4,3,41,Director,Mumbai,2,0,2,C++,Admin,57,29,Female,PartTime,0,21600.0
9,5,57,Manager,Pune,0,4,2,SQL,Operations,41,23,Male,PartTime,1,40100.0
6,1,43,Consultant,Delhi,1,2,4,Python,Admin,39,6,Other,PartTime,0,10200.0
25,1,30,Lead,Pune,0,5,5,Python,IT,53,20,Other,FullTime,0,54100.0
8,1,37,Lead,Delhi,5,5,1,Python,Operations,44,25,Male,Contract,0,44300.0
27,5,58,Analyst,Delhi,4,0,5,C++,IT,36,26,Female,Contract,1,87200.0
6,2,21,Intern,Bangalore,2,4,4,SQL,IT,48,15,Female,PartTime,0,37500.0
8,4,31,Engineer,Hyderabad,2,4,4,Python,Finance,43,27,Female,FullTime,1,56600.0
7,1,53,Intern,Delhi,1,5,2,Java,IT,38,14,Female,PartTime,0,9000.0
11,4,51,Director,Bangalore,4,3,3,Python,IT,47,20,Female,FullTime,1,48700.0
1,4,64,Intern,Hyderabad,4,1,5,Python,HR,35,0,Other,PartTime,0,7100.0
0,1,44,Director,Pune,3,0,3,Java,Operations,46,10,Other,PartTime,0,10100.0
15,1,40,Consultant,Hyderabad,0,2,4,SQL,Admin,56,30,Female,Contract,0,28500.0
22,4,25,Intern,Chennai,2,5,5,Python,IT,55,21,Female,PartTime,1,68500.0
22,2,62,Manager,Delhi,3,1,2,JavaScript,Admin,55,21,Other,PartTime,1,51600.0
29,4,46,Engineer,Chennai,1,5,4,Python,Admin,46,13,Other,PartTime,1,80500.0
23,2,62,Engineer,Bangalore,1,3,4,Python,IT,59,2,Other,Contract,1,68200.0
4,3,27,Engineer,Bangalore,2,2,1,SQL,Finance,49,6,Male,FullTime,0,44100.0
2,2,47,Manager,Bangalore,1,1,4,Python,Finance,37,18,Other,Contract,1,700.0
11,5,38,Director,Pune,0,0,4,C++,IT,52,4,Other,FullTime,0,59100.0
7,1,58,Engineer,Mumbai,4,0,1,Java,HR,49,26,Other,PartTime,0,31100.0
21,3,51,Director,Hyderabad,3,3,2,SQL,HR,54,10,Male,Contract,0,64500.0
26,4,29,Director,Mumbai,2,2,5,Python,Admin,41,6,Other,FullTime,0,67300.0
2,2,22,Manager,Pune,3,5,1,JavaScript,Admin,59,24,Male,PartTime,1,23600.0
0,3,64,Director,Delhi,5,5,2,C++,Admin,57,29,Other,Contract,0,20000.0
2,5,57,Analyst,Pune,4,1,5,SQL,Finance,58,21,Other,Contract,0,25800.0
4,2,49,Director,Chennai,1,5,4,SQL,Operations,53,25,Male,FullTime,0,23000.0
14,4,54,Consultant,Mumbai,3,3,1,Java,IT,57,18,Female,Contract,1,57400.0
13,4,35,Analyst,Bangalore,0,4,4,Python,Admin,35,30,Female,FullTime,0,60700.0
2,2,29,Engineer,Pune,1,5,3,SQL,Operations,55,20,Male,Contract,0,3900.0
0,5,36,Intern,Chennai,1,2,2,JavaScript,HR,40,18,Male,FullTime,1,40100.0
4,1,22,Analyst,Pune,0,3,3,JavaScript,Finance,46,11,Other,PartTime,0,9400.0
25,1,21,Engineer,Bangalore,3,2,1,JavaScript,HR,58,1,Male,Contract,1,57400.0
22,4,29,Intern,Hyderabad,1,5,2,Python,Admin,58,20,Male,FullTime,1,73000.0
30,5,40,Analyst,Bangalore,4,4,1,C++,Finance,58,7,Male,FullTime,0,96600.0
13,4,22,Consultant,Bangalore,5,4,1,SQL,HR,40,26,Female,FullTime,1,49900.0
6,1,21,Analyst,Hyderabad,0,1,5,C++,Finance,53,21,Female,Contract,1,21500.0
26,4,30,Engineer,Delhi,1,3,3,Python,HR,51,22,Male,PartTime,1,66600.0
8,2,43,Manager,Delhi,1,0,2,Python,Operations,54,6,Female,FullTime,1,27500.0
14,2,39,Director,Mumbai,0,3,2,JavaScript,HR,41,15,Other,Contract,0,49100.0
14,5,38,Analyst,Hyderabad,1,0,2,Java,Operations,46,5,Female,FullTime,0,58400.0
25,1,44,Lead,Delhi,5,0,1,C++,Finance,57,16,Other,FullTime,0,60900.0
9,5,42,Manager,Pune,4,3,4,SQL,HR,55,19,Male,PartTime,1,41100.0
27,5,40,Consultant,Hyderabad,0,5,3,Python,HR,44,9,Male,PartTime,1,80000.0
12,1,31,Intern,Chennai,2,1,3,Python,Admin,38,24,Female,Contract,1,28300.0
18,3,29,Director,Delhi,3,0,2,JavaScript,HR,57,30,Other,FullTime,1,44000.0
30,3,35,Manager,Bangalore,1,1,5,SQL,Operations,59,3,Female,FullTime,1,78400.0
6,4,36,Manager,Mumbai,5,1,4,SQL,Operations,40,5,Male,PartTime,0,27500.0
16,3,33,Engineer,Pune,0,4,4,JavaScript,Finance,55,19,Female,FullTime,1,63200.0
19,2,26,Lead,Delhi,3,1,3,Python,HR,54,20,Other,Contract,0,62600.0
28,5,45,Consultant,Pune,3,2,4,JavaScript,Finance,42,4,Male,PartTime,0,98400.0
3,4,35,Consultant,Delhi,2,4,4,Java,IT,54,18,Female,Contract,0,36900.0
29,5,38,Director,Chennai,2,3,3,JavaScript,IT,44,13,Other,Contract,1,66100.0
4,1,63,Consultant,Hyderabad,4,4,5,SQL,Operations,44,10,Male,PartTime,1,8200.0
22,3,53,Consultant,Pune,3,0,2,SQL,Operations,51,17,Male,Contract,0,63500.0
6,1,34,Manager,Bangalore,5,2,3,C++,Operations,38,6,Other,Contract,1,28500.0
12,4,54,Engineer,Pune,2,0,4,SQL,Admin,41,2,Other,FullTime,1,68200.0
14,2,22,Director,Bangalore,0,3,3,Java,HR,55,5,Other,PartTime,1,59400.0
10,3,40,Engineer,Chennai,4,5,4,C++,HR,56,21,Other,Contract,0,38900.0
28,1,62,Director,Hyderabad,3,3,3,Java,Admin,37,1,Male,FullTime,1,75000.0
3,3,36,Manager,Mumbai,1,5,5,C++,IT,49,3,Female,Contract,1,41200.0
12,5,23,Analyst,Hyderabad,0,0,4,JavaScript,Finance,52,8,Male,PartTime,0,39000.0
6,2,50,Intern,Bangalore,5,0,2,JavaScript,HR,58,12,Male,FullTime,0,33200.0
26,3,43,Intern,Mumbai,0,5,1,SQL,IT,40,4,Female,PartTime,1,70500.0
18,2,59,Lead,Bangalore,0,5,4,JavaScript,Operations,52,4,Male,FullTime,0,62100.0
21,5,43,Consultant,Pune,4,3,3,Java,Admin,54,16,Female,Contract,1,59600.0
27,5,23,Intern,Delhi,4,2,2,JavaScript,Operations,38,20,Female,FullTime,0,83100.0
1,1,33,Analyst,Bangalore,5,4,1,SQL,Operations,58,7,Male,Contract,0,10600.0
9,4,60,Analyst,Pune,1,3,4,JavaScript,Operations,49,25,Male,FullTime,0,54500.0
12,1,49,Manager,Chennai,1,4,3,Python,Finance,40,28,Other,Contract,0,25200.0
29,2,43,Consultant,Delhi,2,5,5,JavaScript,HR,37,19,Female,PartTime,1,79200.0
24,1,60,Engineer,Hyderabad,1,2,4,Python,Admin,52,30,Male,FullTime,1,44800.0
20,3,37,Consultant,Delhi,5,3,5,Java,Finance,40,30,Male,PartTime,1,55000.0
5,1,41,Lead,Pune,2,4,1,Python,HR,53,14,Female,FullTime,0,28300.0
27,4,49,Analyst,Hyderabad,0,5,1,C++,IT,54,1,Female,PartTime,1,81400.0
27,4,57,Engineer,Hyderabad,3,1,1,C++,Operations,56,0,Female,FullTime,0,86400.0
11,2,25,Lead,Chennai,2,4,1,Python,IT,51,27,Female,FullTime,1,39100.0
11,5,41,Manager,Mumbai,0,3,2,C++,Admin,48,1,Female,PartTime,1,59600.0
19,4,22,Intern,Bangalore,1,3,4,JavaScript,HR,56,15,Female,PartTime,1,66200.0
29,2,43,Lead,Delhi,0,0,5,JavaScript,IT,35,30,Female,PartTime,1,63400.0
29,4,31,Intern,Chennai,0,3,4,JavaScript,Operations,49,29,Female,Contract,1,81900.0
10,4,35,Director,Chennai,0,3,1,SQL,HR,51,13,Female,Contract,1,7600.0
25,5,43,Intern,Delhi,3,5,2,Java,IT,48,12,Other,PartTime,0,74600.0
22,3,27,Manager,Pune,3,4,4,SQL,Finance,49,4,Other,FullTime,1,36300.0
27,2,63,Analyst,Mumbai,2,1,4,Python,Operations,55,11,Other,PartTime,1,81600.0
24,4,54,Director,Bangalore,5,5,3,Python,Finance,35,2,Female,PartTime,1,81700.0
6,4,58,Engineer,Chennai,2,1,5,JavaScript,IT,52,11,Female,PartTime,1,36500.0
29,1,61,Analyst,Hyderabad,2,5,5,Java,Admin,46,12,Male,FullTime,1,65600.0
0,3,64,Director,Mumbai,5,4,3,Python,IT,44,5,Other,Contract,0,27800.0
0,5,26,Intern,Bangalore,3,5,5,JavaScript,Operations,55,6,Female,PartTime,0,28200.0
24,2,36,Intern,Delhi,2,0,2,Java,IT,47,24,Female,FullTime,1,51300.0
26,4,22,Manager,Chennai,5,2,4,JavaScript,Admin,35,18,Female,FullTime,0,70000.0
29,2,52,Director,Bangalore,1,0,1,SQL,HR,52,7,Other,PartTime,1,64800.0
24,5,63,Consultant,Chennai,2,3,5,Python,HR,54,14,Female,FullTime,1,90700.0
19,3,58,Director,Bangalore,4,3,1,SQL,Operations,48,5,Male,PartTime,0,68600.0
12,1,48,Intern,Hyderabad,0,3,5,Python,Admin,41,7,Male,FullTime,1,47800.0
8,3,61,Intern,Bangalore,3,2,2,SQL,Admin,38,0,Other,FullTime,0,38700.0
2,1,29,Analyst,Pune,0,3,4,SQL,Admin,44,24,Other,FullTime,0,24300.0
6,2,45,Intern,Hyderabad,1,1,2,Java,Operations,58,11,Male,Contract,1,29900.0
5,3,46,Director,Delhi,3,2,4,C++,HR,39,17,Other,Contract,0,33100.0
7,3,46,Lead,Mumbai,5,3,5,SQL,HR,37,2,Other,Contract,1,23000.0
26,3,25,Intern,Bangalore,5,4,1,Java,Operations,40,20,Other,Contract,0,64900.0
8,5,37,Analyst,Pune,1,2,5,C++,Admin,58,6,Female,Contract,0,50700.0
29,2,46,Lead,Chennai,4,5,3,SQL,HR,52,27,Female,FullTime,0,57700.0
4,1,46,Director,Delhi,3,1,3,SQL,Operations,54,10,Other,Contract,1,42300.0
0,3,63,Intern,Bangalore,2,2,5,JavaScript,Operations,57,16,Female,Contract,1,21800.0
18,2,29,Consultant,Delhi,0,0,5,C++,HR,42,19,Other,PartTime,1,41500.0
9,5,43,Lead,Delhi,0,1,4,Python,Finance,35,15,Female,FullTime,1,58700.0
11,5,44,Consultant,Delhi,0,4,1,C++,HR,53,6,Female,Contract,0,39400.0
23,2,61,Manager,Delhi,1,4,3,C++,HR,59,29,Female,Contract,0,66100.0
14,1,29,Intern,Chennai,3,2,5,C++,Admin,59,7,Male,PartTime,1,28400.0
26,2,30,Manager,Hyderabad,0,0,5,C++,Operations,39,30,Female,Contract,0,62900.0
21,2,26,Director,Hyderabad,5,1,2,JavaScript,Finance,47,20,Other,FullTime,0,55400.0
23,4,24,Lead,Pune,1,0,5,Java,IT,47,9,Male,FullTime,0,70900.0
8,5,21,Director,Chennai,4,3,4,JavaScript,Operations,57,19,Male,Contract,1,55200.0
19,1,26,Manager,Delhi,2,5,5,Python,IT,47,4,Female,FullTime,0,40600.0
16,4,58,Lead,Chennai,3,1,1,JavaScript,Admin,52,4,Other,FullTime,1,57600.0
29,2,49,Manager,Delhi,2,0,4,JavaScript,IT,50,6,Other,PartTime,0,61600.0
16,5,64,Lead,Pune,3,1,5,C++,Admin,38,22,Other,Contract,1,72400.0
25,4,23,Intern,Delhi,5,1,3,JavaScript,Admin,49,29,Male,PartTime,0,66800.0
19,4,44,Analyst,Mumbai,0,3,1,Python,Admin,57,28,Male,Contract,0,77900.0
11,1,62,Director,Hyderabad,4,4,2,Python,Admin,44,23,Other,FullTime,0,21000.0
29,2,29,Consultant,Chennai,2,2,3,SQL,Finance,50,0,Female,PartTime,0,71300.0
6,1,37,Consultant,Bangalore,3,2,2,Python,Admin,50,9,Male,PartTime,1,23100.0
1,4,63,Intern,Pune,4,3,3,Java,Finance,52,18,Male,PartTime,0,37100.0
2,4,58,Intern,Pune,5,2,3,Python,Admin,49,9,Other,PartTime,0,28500.0
16,1,62,Lead,Delhi,1,5,3,Python,Admin,48,6,Male,PartTime,0,34300.0
4,4,34,Intern,Bangalore,2,3,4,C++,HR,37,16,Male,Contract,0,38800.0
16,3,56,Intern,Mumbai,0,2,3,Java,Operations,44,18,Other,PartTime,0,48800.0
23,5,53,Lead,Pune,0,0,5,C++,Finance,41,23,Male,PartTime,0,79300.0
16,2,40,Analyst,Hyderabad,5,1,5,C++,IT,58,3,Other,FullTime,1,25300.0
26,5,54,Engineer,Delhi,1,0,5,SQL,IT,42,24,Male,PartTime,1,72600.0
16,2,23,Analyst,Bangalore,1,5,2,Python,Operations,57,7,Female,PartTime,1,32900.0
1,4,40,Lead,Mumbai,2,2,3,Java,HR,41,0,Female,Contract,1,44900.0
1,1,23,Intern,Hyderabad,1,4,2,Java,Finance,46,23,Other,PartTime,1,12000.0
27,1,26,Intern,Bangalore,2,4,2,SQL,Finance,37,22,Male,PartTime,1,45700.0
21,4,49,Consultant,Chennai,5,0,3,Java,HR,40,2,Female,PartTime,0,67400.0
22,2,59,Engineer,Delhi,4,1,5,Java,IT,37,10,Male,PartTime,0,44900.0
